Geneid;ERR458493;ERR458494;;;;
YAL069W;0;0;;;;
YAL068W-A;0;0;;;;
YAL068C;0;0;;;;
YAL067W-A;0;0;;;;
YAL067C;1;3;;;;
YAL066W;0;0;;;;
YAL065C;1;2;;;;
YAL064W-B;2;1;;;;
YAL064C-A;3;4;;;;
YAL064W;0;0;;;;
YAL063C-A;0;0;;;;
YAL063C;14;17;;;;
YAL062W;51;61;;;;
YAL061W;333;328;;;;
YAL060W;252;219;;;;
YAL059C-A;8;8;;;;
YAL059W;14;17;;;;
YAL058W;44;40;;;;
YAL056C-A;3;11;;;;
YAL056W;116;112;;;;
YAL055W;42;28;;;;
YAL054C;31;24;;;;
YAL053W;422;337;;;;
YAL051W;42;40;;;;
YAL049C;58;83;;;;
YAL048C;30;21;;;;
YAL047W-A;1;0;;;;
YAL047C;16;20;;;;
YAL046C;34;33;;;;
YAL045C;25;34;;;;
YAL044W-A;33;38;;;;
YAL044C;217;236;;;;
YAL043C;89;95;;;;
YAL042C-A;177;192;;;;
YAL042W;567;599;;;;
YAL041W;61;70;;;;
YAL040C;55;64;;;;
YAL039C;245;236;;;;
YAL038W;12863;12881;;;;
YAL037C-B;9537;9621;;;;
YAL037C-A;0;0;;;;
YAL037W;3;3;;;;
YAL036C;51;55;;;;
YAL035W;448;426;;;;
YAL034C-B;9;6;;;;
YAL034W-A;17;13;;;;
YAL034C;44;65;;;;
YAL033W;27;20;;;;
YAL032C;55;51;;;;
YAL031W-A;19;5;;;;
YAL031C;68;37;;;;
YAL030W;18;12;;;;
YAL030W;67;63;;;;
YAL029C;87;110;;;;
YAL028W;58;46;;;;
YAL027W;20;25;;;;
YAL026C-A;19;20;;;;
YAL026C;101;96;;;;
HRA1;7;3;;;;
YAL025C;61;62;;;;
YAL024C;17;12;;;;
YAL023C;412;397;;;;
YAL022C;103;128;;;;
YAL021C;119;130;;;;
YAL020C;89;108;;;;
YAL019W-A;44;65;;;;
YAL019W;65;64;;;;
YAL018C;0;0;;;;
YAL017W;150;145;;;;
YAL016C-B;5;10;;;;
YAL016C-A;24;30;;;;
YAL016W;156;173;;;;
YAL015C;58;44;;;;
YAL014C;125;133;;;;
YAL013W;116;103;;;;
YAL012W;693;629;;;;
YAL011W;31;30;;;;
YAL010C;32;23;;;;
YAL009W;29;38;;;;
YAL008W;42;36;;;;
YAL007C;91;99;;;;
tP(UGG)A;0;0;;;;
tP(UGG)A;0;0;;;;
YAL005C;957;971;;;;
YAL004W;163;172;;;;
YAL003W;101;104;;;;
snR18;2;0;;;;
YAL003W;978;921;;;;
YAL002W;44;42;;;;
YAL001C;60;40;;;;
YAL001C;1;0;;;;
YAR002W;64;55;;;;
YAR002C-A;111;140;;;;
YAR003W;48;49;;;;
YAR007C;77;77;;;;
YAR008W;16;20;;;;
YAR009C;6;5;;;;
YAR010C;0;0;;;;
tA(UGC)A;0;0;;;;
YAR014C;102;84;;;;
YAR015W;407;378;;;;
YAR018C;28;35;;;;
YAR019C;28;24;;;;
YAR019W-A;1;2;;;;
YAR020C;6;3;;;;
YAR023C;7;13;;;;
tL(CAA)A;0;0;;;;
tL(CAA)A;0;0;;;;
tS(AGA)A;0;0;;;;
YAR027W;93;90;;;;
YAR028W;40;41;;;;
YAR029W;5;3;;;;
YAR030C;1;8;;;;
YAR031W;7;11;;;;
YAR033W;15;11;;;;
YAR035W;21;27;;;;
YAR035C-A;1;0;;;;
YAR042W;151;139;;;;
YAR047C;5;0;;;;
YAR050W;20;18;;;;
YAR053W;0;0;;;;
YAR060C;0;0;;;;
YAR061W;0;0;;;;
YAR062W;0;0;;;;
YAR064W;0;3;;;;
YAR066W;0;0;;;;
YAR068W;0;1;;;;
YAR069C;0;0;;;;
YAR070C;0;0;;;;
YAR071W;15;10;;;;
YAR073W;1;3;;;;
YAR075W;1;2;;;;
YBL113C;16;27;;;;
YBL113W-A;2;5;;;;
YBL112C;0;0;;;;
YBL111C;0;0;;;;
YBL111C;0;0;;;;
YBL109W;1;0;;;;
YBL108C-A;0;0;;;;
YBL108W;0;0;;;;
YBL107W-A;0;0;;;;
tL(UAA)B1;0;0;;;;
YBL107C;40;30;;;;
YBL106C;41;30;;;;
YBL105C;149;147;;;;
YBL104C;33;40;;;;
YBL103C;67;57;;;;
YBL102W;90;78;;;;
YBL101C;174;186;;;;
YBL100W-C;0;0;;;;
YBL100W-B;0;2;;;;
YBL100W-A;0;2;;;;
YBL100W-B;1;3;;;;
tF(GAA)B;0;0;;;;
tF(GAA)B;0;0;;;;
YBL100C;27;37;;;;
