gene_id	ERR458494_1	ERR458493_1	ERR458493_2	ERR458494_2
YAL069W	0	0	0	0
YAL068W-A	0	0	0	0
YAL068C	0	0	0	0
YAL067W-A	0	0	0	0
YAL067C	3	1	1	3
YAL066W	0	0	0	0
YAL065C	2	1	1	2
YAL064W-B	1	2	2	1
YAL064C-A	4	3	3	4
YAL064W	0	0	0	0
YAL063C-A	0	0	0	0
YAL063C	17	14	14	17
YAL062W	61	51	51	61
YAL061W	328	333	333	328
YAL060W	219	252	252	219
YAL059C-A	8	8	8	8
YAL059W	17	14	14	17
YAL058W	40	44	44	40
YAL056C-A	11	3	3	11
YAL056W	112	116	116	112
YAL055W	28	42	42	28
YAL054C	24	31	31	24
YAL053W	337	422	422	337
YAL051W	40	42	42	40
YAL049C	83	58	58	83
YAL048C	21	30	30	21
YAL047W-A	0	1	1	0
YAL047C	20	16	16	20
YAL046C	33	34	34	33
YAL045C	34	25	25	34
YAL044W-A	38	33	33	38
YAL044C	236	217	217	236
YAL043C	95	89	89	95
YAL042C-A	192	177	177	192
YAL042W	599	567	567	599
YAL041W	70	61	61	70
YAL040C	64	55	55	64
YAL039C	236	245	245	236
YAL038W	12881	12863	12863	12881
YAL037C-B	9621	9537	9537	9621
YAL037C-A	0	0	0	0
YAL037W	3	3	3	3
YAL036C	55	51	51	55
YAL035W	426	448	448	426
YAL034C-B	6	9	9	6
YAL034W-A	13	17	17	13
YAL034C	65	44	44	65
YAL033W	20	27	27	20
YAL032C	51	55	55	51
YAL031W-A	5	19	19	5
YAL031C	37	68	68	37
YAL030W	75	85	85	75
YAL029C	110	87	87	110
YAL028W	46	58	58	46
YAL027W	25	20	20	25
YAL026C-A	20	19	19	20
YAL026C	96	101	101	96
HRA1	3	7	7	3
YAL025C	62	61	61	62
YAL024C	12	17	17	12
YAL023C	397	412	412	397
YAL022C	128	103	103	128
YAL021C	130	119	119	130
YAL020C	108	89	89	108
YAL019W-A	65	44	44	65
YAL019W	64	65	65	64
YAL018C	0	0	0	0
YAL017W	145	150	150	145
YAL016C-B	10	5	5	10
YAL016C-A	30	24	24	30
YAL016W	173	156	156	173
YAL015C	44	58	58	44
YAL014C	133	125	125	133
YAL013W	103	116	116	103
YAL012W	629	693	693	629
YAL011W	30	31	31	30
YAL010C	23	32	32	23
YAL009W	38	29	29	38
YAL008W	36	42	42	36
YAL007C	99	91	91	99
tP(UGG)A	0	0	0	0
YAL005C	971	957	957	971
YAL004W	172	163	163	172
YAL003W	1025	1079	1079	1025
snR18	0	2	2	0
YAL002W	42	44	44	42
YAL001C	40	61	61	40
YAR002W	55	64	64	55
YAR002C-A	140	111	111	140
YAR003W	49	48	48	49
YAR007C	77	77	77	77
YAR008W	20	16	16	20
YAR009C	5	6	6	5
YAR010C	0	0	0	0
tA(UGC)A	0	0	0	0
YAR014C	84	102	102	84
YAR015W	378	407	407	378
YAR018C	35	28	28	35
YAR019C	24	28	28	24
YAR019W-A	2	1	1	2
YAR020C	3	6	6	3
YAR023C	13	7	7	13
tL(CAA)A	0	0	0	0
tS(AGA)A	0	0	0	0
YAR027W	90	93	93	90
YAR028W	41	40	40	41
YAR029W	3	5	5	3
YAR030C	8	1	1	8
YAR031W	11	7	7	11
YAR033W	11	15	15	11
YAR035W	27	21	21	27
YAR035C-A	0	1	1	0
YAR042W	139	151	151	139
YAR047C	0	5	5	0
YAR050W	18	20	20	18
YAR053W	0	0	0	0
YAR060C	0	0	0	0
YAR061W	0	0	0	0
YAR062W	0	0	0	0
YAR064W	3	0	0	3
YAR066W	0	0	0	0
YAR068W	1	0	0	1
YAR069C	0	0	0	0
YAR070C	0	0	0	0
YAR071W	10	15	15	10
YAR073W	3	1	1	3
YAR075W	2	1	1	2
YBL113C	27	16	16	27
YBL113W-A	5	2	2	5
YBL112C	0	0	0	0
YBL111C	0	0	0	0
YBL109W	0	1	1	0
YBL108C-A	0	0	0	0
YBL108W	0	0	0	0
YBL107W-A	0	0	0	0
tL(UAA)B1	0	0	0	0
YBL107C	30	40	40	30
YBL106C	30	41	41	30
YBL105C	147	149	149	147
YBL104C	40	33	33	40
YBL103C	57	67	67	57
YBL102W	78	90	90	78
YBL101C	186	174	174	186
YBL100W-C	0	0	0	0
YBL100W-B	5	1	1	5
YBL100W-A	2	0	0	2
tF(GAA)B	0	0	0	0
YBL100C	37	27	27	37
YBL099W	443	427	427	443
YBL098W	21	22	22	21
YBL097W	18	17	17	18
YBL096C	7	5	5	7
YBL095W	30	30	30	30
YBL094C	9	11	11	9
YBL093C	98	102	102	98
YBL092W	1637	1709	1709	1637
YBL091C-A	33	71	71	33
YBL091C	334	340	340	334
YBL090W	16	29	29	16
YBL089W	32	35	35	32
YBL088C	56	54	54	56
YBL087C	842	827	827	842
YBL086C	105	91	91	105
YBL085W	114	98	98	114
YBL084C	35	37	37	35
YBL083C	50	38	38	50
YBL082C	118	105	105	118
YBL081W	50	63	63	50
YBL080C	29	29	29	29
YBL079W	65	63	63	65
YBL078C	33	36	36	33
YBL077W	127	140	140	127
YBL076C	585	590	590	585
YBL075C	37	35	35	37
YBL074C	8	12	12	8
YBL073W	5	1	1	5
snR56	3	0	0	3
YBL072C	486	486	486	486
YBL071C-B	0	2	2	0
YBL071W-A	8	9	9	8
YBL071C	2	11	11	2
YBL070C	4	3	3	4
YBL069W	50	36	36	50
YBL068W-A	14	7	7	14
YBL068W	46	31	31	46
YBL067C	61	59	59	61
YBL066C	28	37	37	28
YBL065W	2	1	1	2
YBL064C	99	126	126	99
YBL063W	23	20	20	23
YBL062W	16	19	19	16
YBL061C	91	105	105	91
YBL060W	26	21	21	26
YBL059C-A	18	23	23	18
YBL059W	8	13	13	8
YBL058W	241	265	265	241
YBL057C	92	91	91	92
YBL056W	299	308	308	299
YBL055C	79	73	73	79
YBL054W	14	18	18	14
YBL053W	22	24	24	22
YBL052C	40	58	58	40
YBL051C	118	156	156	118
YBL050W	95	104	104	95
YBL049W	7	7	7	7
YBL048W	1	1	1	1
YBL047C	500	485	485	500
YBL046W	92	74	74	92
YBL045C	197	230	230	197
YBL044W	2	2	2	2
YBL043W	5	12	12	5
YBL042C	48	47	47	48
YBL041W	309	321	321	309
YBL040C	67	85	85	67
YBL039W-B	10	4	4	10
YBL039C	68	77	77	68
YBL039C-A	7	5	5	7
YBL038W	48	61	61	48
YBL037W	58	65	65	58
YBL036C	44	43	43	44
YBL035C	21	20	20	21
YBL034C	12	21	21	12
YBL033C	154	156	156	154
YBL032W	138	133	133	138
YBL031W	19	11	11	19
YBL030C	430	385	385	430
YBL029C-A	29	16	16	29
YBL029W	27	31	31	27
YBL028C	11	15	15	11
YBL027W	1470	1508	1508	1470
YBL026W	29	32	32	29
YBL025W	5	10	10	5
YBL024W	68	78	78	68
YBL023C	53	67	67	53
YBL022C	168	192	192	168
YBL021C	39	44	44	39
YBL020W	35	43	43	35
YBL019W	15	17	17	15
YBL018C	38	32	32	38
YBL017C	260	244	244	260
YBL016W	49	45	45	49
YBL015W	104	96	96	104
tI(AAU)B	0	0	0	0
tG(GCC)B	0	0	0	0
YBL014C	22	26	26	22
YBL013W	6	4	4	6
YBL012C	15	18	18	15
YBL011W	150	137	137	150
YBL010C	17	17	17	17
YBL009W	16	19	19	16
YBL008W-A	0	0	0	0
YBL008W	25	26	26	25
YBL007C	357	373	373	357
YBL006C	160	134	134	160
YBL006W-A	56	60	60	56
YBL005W	48	55	55	48
YBL005W-B	19	24	24	19
YBL005W-A	3	3	3	3
tS(AGA)B	0	0	0	0
YBL004W	81	84	84	81
YBL003C	301	296	296	301
YBL002W	175	181	181	175
YBL001C	77	88	88	77
YBR001C	63	75	75	63
YBR002C	46	47	47	46
YBR003W	82	60	60	82
YBR004C	35	35	35	35
YBR005W	117	118	118	117
YBR006W	59	37	37	59
YBR007C	30	34	34	30
YBR008C	27	31	31	27
YBR009C	325	359	359	325
YBR010W	300	245	245	300
YBR011C	861	920	920	861
YBR012C	3	8	8	3
YBR012W-B	1	3	3	1
YBR012W-A	0	1	1	0
YBR013C	6	6	6	6
tT(AGU)B	0	0	0	0
YBR014C	37	32	32	37
YBR015C	207	214	214	207
YBR016W	173	167	167	173
YBR017C	116	100	100	116
YBR018C	2	11	11	2
YBR019C	9	4	4	9
YBR020W	14	8	8	14
YBR021W	26	15	15	26
YBR022W	27	19	19	27
YBR023C	127	128	128	127
YBR024W	21	29	29	21
YBR025C	561	540	540	561
YBR026C	71	79	79	71
YBR027C	3	3	3	3
YBR028C	52	44	44	52
YBR029C	76	81	81	76
YBR030W	32	36	36	32
YBR031W	934	955	955	934
YBR032W	4	10	10	4
YBR033W	23	17	17	23
YBR034C	116	110	110	116
YBR035C	120	116	116	120
snR161	0	0	0	0
TLC1	99	125	125	99
YBR036C	306	312	312	306
YBR037C	50	65	65	50
YBR038W	58	63	63	58
YBR039W	158	164	164	158
YBR040W	0	1	1	0
YBR041W	132	112	112	132
YBR042C	43	47	47	43
YBR043C	61	57	57	61
YBR044C	50	46	46	50
tV(UAC)B	0	0	0	0
YBR045C	5	8	8	5
YBR046C	56	78	78	56
YBR047W	10	13	13	10
YBR048W	1052	1046	1046	1052
YBR049C	55	56	56	55
YBR050C	34	35	35	34
YBR051W	6	4	4	6
YBR052C	210	191	191	210
YBR053C	88	98	98	88
YBR054W	75	75	75	75
YBR055C	27	29	29	27
tL(UAA)B2	0	0	0	0
YBR056W	148	125	125	148
tQ(UUG)B	0	0	0	0
YBR056W-A	62	90	90	62
YBR056C-B	62	90	90	62
YBR057C	72	61	61	72
YBR058C	72	58	58	72
YBR058C-A	57	51	51	57
YBR059C	239	188	188	239
YBR060C	40	34	34	40
YBR061C	13	16	16	13
YBR062C	35	38	38	35
YBR063C	15	13	13	15
YBR064W	3	6	6	3
YBR065C	6	4	4	6
YBR066C	18	13	13	18
YBR067C	564	604	604	564
YBR068C	483	505	505	483
YBR069C	176	195	195	176
YBR070C	19	13	13	19
YBR071W	49	36	36	49
YBR072W	15	29	29	15
YBR072C-A	1	0	0	1
YBR073W	78	61	61	78
YBR074W	71	78	78	71
YBR076W	7	7	7	7
YBR076C-A	15	12	12	15
YBR077C	46	28	28	46
YBR078W	1096	1109	1109	1096
YBR079C	370	326	326	370
YBR080C	101	128	128	101
YBR081C	60	57	57	60
tR(UCU)B	0	0	0	0
tD(GUC)B	0	0	0	0
YBR082C	437	441	441	437
YBR083W	80	55	55	80
YBR084W	186	185	185	186
YBR084C-A	803	819	819	803
YBR085W	27	26	26	27
YBR085C-A	117	147	147	117
YBR086C	308	296	296	308
YBR087W	43	30	30	43
YBR088C	58	44	44	58
YBR089W	50	40	40	50
YBR089C-A	132	113	113	132
YBR090C	48	56	56	48
YBR091C	12	12	12	12
YBR092C	170	196	196	170
YBR093C	167	181	181	167
YBR094W	37	45	45	37
YBR095C	39	32	32	39
YBR096W	38	57	57	38
YBR097W	35	33	33	35
YBR098W	14	20	20	14
YBR099C	5	2	2	5
YBR101C	58	56	56	58
YBR102C	22	41	41	22
YBR103W	40	60	60	40
YBR103C-A	0	1	1	0
YBR104W	26	50	50	26
YBR105C	64	79	79	64
YBR106W	689	721	721	689
YBR107C	24	20	20	24
YBR108W	113	126	126	113
YBR109C	202	241	241	202
YBR109W-A	3	0	0	3
YBR110W	66	72	72	66
YBR111C	156	139	139	156
YBR111W-A	26	18	18	26
YBR112C	294	285	285	294
YBR113W	19	20	20	19
YBR114W	59	56	56	59
YBR115C	166	180	180	166
YBR116C	1	4	4	1
YBR117C	16	19	19	16
YBR118W	1934	2006	2006	1934
YBR119W	23	21	21	23
YBR120C	14	13	13	14
YBR121C	520	540	540	520
YBR121C-A	36	37	37	36
YBR122C	38	52	52	38
YBR123C	52	35	35	52
YBR124W	0	1	1	0
YBR125C	45	56	56	45
YBR126C	1060	1215	1215	1060
YBR126W-A	330	331	331	330
YBR126W-B	283	271	271	283
YBR127C	555	553	553	555
YBR128C	10	14	14	10
YBR129C	27	30	30	27
YBR130C	50	44	44	50
YBR131W	19	8	8	19
YBR131C-A	0	1	1	0
YBR132C	62	53	53	62
YBR133C	46	62	62	46
YBR134W	3	1	1	3
YBR135W	54	62	62	54
YBR136W	33	35	35	33
YBR137W	22	21	21	22
YBR138C	14	23	23	14
YBR139W	213	172	172	213
YBR140C	132	110	110	132
YBR141C	13	11	11	13
YBR141W-A	3	2	2	3
YBR142W	33	35	35	33
YBR143C	267	275	275	267
YBR144C	0	0	0	0
YBR145W	292	269	269	292
YBR146W	95	89	89	95
YBR147W	24	22	22	24
YBR148W	6	5	5	6
YBR149W	354	359	359	354
YBR150C	57	51	51	57
YBR151W	139	167	167	139
YBR152W	10	10	10	10
YBR153W	37	37	37	37
YBR154C	41	40	40	41
YBR155W	43	39	39	43
YBR156C	9	14	14	9
YBR157C	28	31	31	28
YBR158W	134	150	150	134
YBR159W	140	166	166	140
YBR160W	66	58	58	66
YBR161W	32	32	32	32
YBR162C	798	794	794	798
YBR162W-A	76	54	54	76
YBR163W	38	39	39	38
YBR164C	60	78	78	60
YBR165W	19	17	17	19
YBR166C	40	44	44	40
YBR167C	21	20	20	21
YBR168W	18	11	11	18
YBR169C	100	94	94	100
YBR170C	73	74	74	73
YBR171W	47	57	57	47
YBR172C	78	67	67	78
YBR173C	141	148	148	141
YBR174C	8	9	9	8
YBR175W	45	42	42	45
YBR176W	17	13	13	17
YBR177C	115	119	119	115
YBR178W	9	6	6	9
YBR179C	35	40	40	35
YBR180W	1	1	1	1
YBR181C	431	398	398	431
YBR182C	5	6	6	5
YBR182C-A	0	0	0	0
YBR183W	41	41	41	41
YBR184W	1	1	1	1
